tr,cr,fr,z
0.232,0.903,-1.712,0.067
0.237,0.900,-1.709,0.067
0.241,0.896,-1.707,0.067
0.245,0.893,-1.704,0.067
0.249,0.889,-1.701,0.066
0.253,0.886,-1.698,0.066
0.257,0.882,-1.695,0.066
0.261,0.878,-1.692,0.066
0.265,0.875,-1.689,0.066
0.269,0.871,-1.686,0.065
0.273,0.867,-1.683,0.065
0.277,0.863,-1.679,0.065
0.281,0.859,-1.676,0.065
0.285,0.856,-1.673,0.065
0.289,0.852,-1.670,0.064
0.293,0.848,-1.666,0.064
0.297,0.844,-1.663,0.064
0.301,0.840,-1.659,0.064
0.305,0.836,-1.656,0.064
0.309,0.832,-1.652,0.063
0.312,0.828,-1.649,0.063
0.316,0.824,-1.645,0.063
0.320,0.820,-1.641,0.063
0.324,0.816,-1.638,0.063
0.328,0.811,-1.634,0.062
0.331,0.806,-1.630,0.062
0.334,0.801,-1.626,0.062
0.338,0.796,-1.622,0.061
0.341,0.791,-1.618,0.061
0.344,0.786,-1.614,0.061
0.347,0.780,-1.610,0.060
0.350,0.775,-1.606,0.060
0.353,0.769,-1.602,0.060
0.355,0.763,-1.598,0.059
0.358,0.757,-1.594,0.059
0.361,0.751,-1.590,0.058
0.363,0.745,-1.586,0.058
0.365,0.739,-1.582,0.058
0.368,0.732,-1.578,0.057
0.370,0.726,-1.574,0.057
0.372,0.720,-1.569,0.056
0.375,0.713,-1.565,0.056
0.377,0.707,-1.561,0.055
0.380,0.701,-1.556,0.055
0.382,0.694,-1.552,0.054
0.385,0.688,-1.547,0.054
0.388,0.682,-1.542,0.054
0.390,0.675,-1.537,0.053
0.392,0.669,-1.533,0.053
0.395,0.662,-1.528,0.052
0.397,0.656,-1.523,0.052
0.399,0.649,-1.518,0.051
0.402,0.642,-1.513,0.051
0.404,0.636,-1.508,0.050
0.406,0.629,-1.503,0.050
0.408,0.622,-1.498,0.049
0.411,0.615,-1.493,0.049
0.413,0.609,-1.488,0.049
0.415,0.602,-1.483,0.048
0.417,0.595,-1.478,0.048
0.420,0.588,-1.472,0.047
0.422,0.582,-1.467,0.047
0.425,0.575,-1.461,0.046
0.427,0.568,-1.456,0.046
0.430,0.562,-1.450,0.045
0.432,0.555,-1.444,0.045
0.434,0.548,-1.439,0.045
0.437,0.541,-1.433,0.044
0.439,0.534,-1.427,0.044
0.441,0.527,-1.422,0.043
0.443,0.520,-1.416,0.043
0.445,0.513,-1.410,0.042
0.446,0.506,-1.404,0.042
0.448,0.499,-1.399,0.041
0.450,0.492,-1.393,0.041
0.452,0.485,-1.387,0.040
0.453,0.477,-1.381,0.040
0.455,0.470,-1.376,0.039
0.456,0.463,-1.370,0.039
0.457,0.455,-1.364,0.038
0.459,0.448,-1.358,0.038
0.460,0.441,-1.353,0.037
0.461,0.433,-1.347,0.036
0.462,0.426,-1.341,0.036
0.463,0.418,-1.335,0.035
0.464,0.411,-1.329,0.035
0.465,0.403,-1.323,0.034
0.466,0.396,-1.317,0.034
0.467,0.388,-1.311,0.033
0.468,0.380,-1.305,0.033
0.469,0.373,-1.299,0.032
0.470,0.365,-1.293,0.031
0.471,0.358,-1.287,0.031
0.472,0.350,-1.280,0.030
0.472,0.342,-1.274,0.030
0.473,0.335,-1.268,0.029
0.474,0.327,-1.262,0.029
0.474,0.319,-1.256,0.028
0.474,0.312,-1.251,0.028
0.474,0.305,-1.245,0.027
0.474,0.297,-1.239,0.026
0.474,0.290,-1.234,0.026
0.474,0.283,-1.228,0.025
0.474,0.275,-1.223,0.025
0.474,0.268,-1.217,0.024
0.474,0.260,-1.211,0.024
0.474,0.253,-1.205,0.023
0.474,0.245,-1.199,0.022
0.474,0.238,-1.193,0.022
0.474,0.230,-1.187,0.021
0.474,0.222,-1.181,0.021
0.474,0.215,-1.175,0.020
0.474,0.207,-1.168,0.020
0.474,0.199,-1.162,0.019
0.474,0.191,-1.155,0.018
0.474,0.183,-1.148,0.018
0.474,0.175,-1.142,0.017
0.474,0.168,-1.135,0.017
0.474,0.160,-1.128,0.016
0.474,0.152,-1.121,0.015
0.474,0.143,-1.114,0.015
0.473,0.135,-1.107,0.014
0.473,0.127,-1.100,0.014
0.473,0.119,-1.092,0.013
0.473,0.111,-1.085,0.013
0.473,0.103,-1.077,0.012
0.473,0.094,-1.070,0.011
0.473,0.086,-1.062,0.011
0.473,0.078,-1.054,0.010
0.473,0.069,-1.046,0.010
0.473,0.061,-1.038,0.009
0.473,0.052,-1.030,0.009
0.473,0.044,-1.022,0.008
0.473,0.035,-1.014,0.007
0.473,0.027,-1.005,0.007
0.473,0.018,-0.997,0.006
0.473,0.009,-0.988,0.006
0.473,0.001,-0.979,0.005
0.474,-0.007,-0.971,0.005
0.475,-0.015,-0.963,0.004
0.476,-0.022,-0.955,0.004
0.477,-0.028,-0.948,0.003
0.477,-0.034,-0.942,0.003
0.477,-0.038,-0.937,0.003
0.476,-0.042,-0.934,0.002
0.475,-0.045,-0.931,0.002
0.474,-0.048,-0.930,0.002
0.473,-0.050,-0.929,0.002
0.471,-0.051,-0.929,0.002
0.469,-0.052,-0.929,0.001
0.467,-0.053,-0.930,0.001
0.465,-0.053,-0.931,0.001
