tr2,cr2,fr2
-0.873,0.222,-1.037
-0.874,0.218,-1.031
-0.876,0.215,-1.025
-0.877,0.212,-1.019
-0.879,0.209,-1.013
-0.880,0.206,-1.007
-0.882,0.202,-1.000
-0.883,0.199,-0.994
-0.885,0.196,-0.988
-0.886,0.193,-0.982
-0.888,0.189,-0.975
-0.889,0.186,-0.969
-0.890,0.182,-0.962
-0.892,0.179,-0.956
-0.893,0.175,-0.949
-0.895,0.172,-0.942
-0.896,0.168,-0.936
-0.898,0.165,-0.929
-0.899,0.161,-0.922
-0.901,0.158,-0.915
-0.902,0.154,-0.909
-0.903,0.150,-0.902
-0.905,0.146,-0.895
-0.906,0.143,-0.887
-0.908,0.139,-0.880
-0.909,0.135,-0.873
-0.910,0.131,-0.866
-0.912,0.127,-0.858
-0.913,0.123,-0.851
-0.914,0.119,-0.843
-0.916,0.115,-0.836
-0.917,0.111,-0.828
-0.919,0.107,-0.821
-0.920,0.102,-0.813
-0.921,0.098,-0.805
-0.923,0.094,-0.797
-0.924,0.089,-0.789
-0.925,0.085,-0.781
-0.927,0.080,-0.772
-0.928,0.076,-0.764
-0.929,0.071,-0.756
-0.931,0.067,-0.747
-0.932,0.063,-0.741
-0.933,0.061,-0.736
-0.933,0.060,-0.732
-0.934,0.059,-0.730
-0.934,0.059,-0.729
-0.934,0.060,-0.729
-0.935,0.062,-0.730
-0.935,0.064,-0.732
-0.935,0.066,-0.735
-0.935,0.069,-0.738
-0.934,0.072,-0.741
-0.934,0.075,-0.744
-0.934,0.077,-0.746
-0.935,0.078,-0.746
-0.935,0.079,-0.746
-0.935,0.079,-0.745
-0.936,0.079,-0.743
-0.936,0.078,-0.741
-0.937,0.077,-0.738
-0.938,0.076,-0.734
-0.938,0.074,-0.730
-0.939,0.072,-0.726
