tr,cr,fr,z
0.108,0.604,-1.562,0.065
0.111,0.602,-1.560,0.065
0.114,0.599,-1.558,0.065
0.117,0.597,-1.556,0.064
0.120,0.594,-1.554,0.064
0.124,0.591,-1.552,0.064
0.127,0.589,-1.550,0.064
0.130,0.586,-1.548,0.063
0.133,0.584,-1.546,0.063
0.136,0.581,-1.544,0.063
0.139,0.578,-1.542,0.062
0.142,0.576,-1.540,0.062
0.145,0.573,-1.538,0.062
0.148,0.570,-1.536,0.062
0.151,0.568,-1.533,0.061
0.154,0.565,-1.531,0.061
0.157,0.562,-1.529,0.061
0.161,0.559,-1.527,0.060
0.164,0.557,-1.524,0.060
0.167,0.554,-1.522,0.060
0.170,0.551,-1.520,0.060
0.173,0.549,-1.517,0.059
0.176,0.546,-1.515,0.059
0.179,0.543,-1.513,0.059
0.182,0.540,-1.510,0.058
0.185,0.537,-1.508,0.058
0.188,0.535,-1.505,0.058
0.191,0.532,-1.503,0.058
0.194,0.529,-1.500,0.057
0.197,0.526,-1.497,0.057
0.200,0.523,-1.495,0.057
0.203,0.520,-1.492,0.056
0.206,0.518,-1.490,0.056
0.209,0.515,-1.487,0.056
0.212,0.512,-1.484,0.056
0.215,0.509,-1.481,0.055
0.218,0.506,-1.479,0.055
0.221,0.503,-1.476,0.055
0.224,0.500,-1.473,0.054
0.227,0.497,-1.470,0.054
0.230,0.494,-1.467,0.054
0.233,0.491,-1.464,0.054
0.236,0.488,-1.462,0.053
0.239,0.485,-1.459,0.053
0.242,0.482,-1.456,0.053
0.245,0.479,-1.453,0.052
0.248,0.476,-1.450,0.052
0.251,0.473,-1.447,0.052
0.254,0.470,-1.443,0.052
0.257,0.467,-1.440,0.051
0.260,0.464,-1.437,0.051
0.263,0.461,-1.434,0.051
0.266,0.458,-1.431,0.050
0.269,0.455,-1.428,0.050
0.271,0.452,-1.424,0.050
0.274,0.448,-1.421,0.049
0.276,0.445,-1.418,0.049
0.278,0.441,-1.414,0.049
0.280,0.437,-1.411,0.048
0.281,0.433,-1.408,0.048
0.282,0.429,-1.404,0.047
0.284,0.424,-1.401,0.047
0.285,0.420,-1.398,0.046
0.286,0.415,-1.394,0.046
0.287,0.411,-1.391,0.045
0.288,0.406,-1.387,0.045
0.290,0.402,-1.383,0.044
0.291,0.397,-1.380,0.044
0.293,0.393,-1.376,0.043
0.294,0.388,-1.372,0.043
0.296,0.384,-1.368,0.042
0.298,0.379,-1.364,0.041
0.300,0.375,-1.360,0.041
0.301,0.370,-1.356,0.041
0.303,0.365,-1.352,0.040
0.305,0.361,-1.348,0.040
0.307,0.356,-1.343,0.039
0.309,0.352,-1.339,0.039
0.311,0.347,-1.335,0.038
0.313,0.343,-1.330,0.038
0.315,0.338,-1.326,0.037
0.317,0.333,-1.322,0.037
0.319,0.329,-1.317,0.036
0.322,0.324,-1.313,0.036
0.324,0.319,-1.308,0.035
0.326,0.315,-1.303,0.035
0.328,0.310,-1.299,0.034
0.330,0.305,-1.294,0.034
0.332,0.301,-1.289,0.033
0.334,0.296,-1.285,0.033
0.337,0.291,-1.280,0.032
0.339,0.287,-1.275,0.032
0.341,0.282,-1.270,0.031
0.343,0.278,-1.266,0.031
0.346,0.273,-1.261,0.030
0.348,0.269,-1.256,0.030
0.351,0.265,-1.251,0.030
0.353,0.260,-1.246,0.029
0.355,0.256,-1.242,0.029
0.358,0.252,-1.237,0.028
0.360,0.248,-1.232,0.028
0.363,0.243,-1.227,0.028
0.365,0.239,-1.222,0.027
0.367,0.234,-1.217,0.027
0.370,0.230,-1.212,0.026
0.372,0.225,-1.206,0.026
0.374,0.220,-1.201,0.025
0.376,0.216,-1.196,0.025
0.378,0.211,-1.190,0.025
0.380,0.205,-1.185,0.024
0.381,0.200,-1.180,0.023
0.383,0.195,-1.174,0.023
0.384,0.190,-1.169,0.022
0.386,0.184,-1.163,0.022
0.387,0.179,-1.158,0.021
0.388,0.173,-1.152,0.021
0.389,0.168,-1.147,0.020
0.390,0.162,-1.141,0.019
0.391,0.156,-1.136,0.019
0.392,0.151,-1.130,0.018
0.393,0.145,-1.124,0.018
0.394,0.139,-1.119,0.017
0.395,0.133,-1.113,0.016
0.396,0.127,-1.107,0.016
0.396,0.122,-1.101,0.015
0.398,0.116,-1.095,0.014
0.399,0.110,-1.089,0.014
0.400,0.104,-1.083,0.013
0.401,0.098,-1.077,0.013
0.402,0.092,-1.070,0.012
0.403,0.086,-1.064,0.011
0.405,0.080,-1.058,0.011
0.406,0.074,-1.051,0.010
0.407,0.068,-1.044,0.010
0.409,0.062,-1.038,0.009
0.410,0.056,-1.031,0.008
0.411,0.050,-1.024,0.008
0.412,0.044,-1.017,0.007
0.413,0.037,-1.011,0.007
0.415,0.031,-1.004,0.006
0.415,0.025,-0.997,0.005
0.416,0.020,-0.992,0.005
0.416,0.016,-0.987,0.004
0.416,0.012,-0.984,0.004
0.415,0.009,-0.981,0.004
0.415,0.006,-0.978,0.003
0.414,0.003,-0.977,0.003
0.413,0.001,-0.976,0.003
0.411,0.000,-0.975,0.002
0.410,-0.002,-0.975,0.002
0.408,-0.002,-0.975,0.002
0.407,-0.003,-0.975,0.002
0.405,-0.004,-0.976,0.002
0.403,-0.004,-0.977,0.001
0.401,-0.004,-0.979,0.001
0.398,-0.004,-0.980,0.001
0.396,-0.004,-0.982,0.001
0.394,-0.003,-0.984,0.001
0.392,-0.003,-0.986,0.001
0.389,-0.002,-0.989,0.001
0.387,-0.002,-0.991,0.001
0.384,-0.001,-0.993,0.001
0.381,0.000,-0.996,0.001
0.379,0.001,-0.999,0.001
0.376,0.002,-1.001,0.000
0.373,0.002,-1.004,0.000
0.371,0.003,-1.007,0.000
0.368,0.005,-1.010,0.000
0.365,0.006,-1.012,0.000
0.362,0.007,-1.015,0.000
0.359,0.008,-1.018,0.000
0.356,0.009,-1.021,0.000
0.353,0.010,-1.024,0.000
0.351,0.011,-1.027,0.000
0.348,0.012,-1.030,0.000
0.345,0.013,-1.032,0.000
0.342,0.014,-1.035,0.000
0.339,0.016,-1.038,0.000
0.336,0.017,-1.041,0.000
0.333,0.018,-1.044,0.000
0.330,0.019,-1.046,0.000
0.327,0.020,-1.049,0.000
0.323,0.021,-1.052,0.000
0.320,0.022,-1.055,0.000
0.317,0.023,-1.057,0.000
0.314,0.025,-1.060,0.000
0.311,0.026,-1.063,0.000
0.308,0.027,-1.065,0.000
0.305,0.028,-1.068,0.000
0.302,0.029,-1.071,0.000
0.299,0.030,-1.073,0.000
0.295,0.031,-1.076,0.000
0.292,0.032,-1.078,0.000
0.289,0.033,-1.081,0.000
0.286,0.034,-1.083,0.000
0.283,0.035,-1.085,0.000
0.280,0.036,-1.088,0.000
0.276,0.037,-1.090,0.000
0.273,0.038,-1.092,0.000
0.270,0.039,-1.095,0.000
0.267,0.040,-1.097,0.000
0.264,0.041,-1.099,0.000
0.260,0.041,-1.101,0.000
0.257,0.042,-1.103,0.000
0.254,0.043,-1.106,0.000
0.251,0.044,-1.108,0.000
0.247,0.045,-1.110,0.000
0.244,0.046,-1.112,0.000
0.241,0.046,-1.114,0.000
0.238,0.047,-1.116,0.000
0.234,0.048,-1.118,0.000
0.231,0.049,-1.120,0.000
0.228,0.050,-1.122,0.000
0.224,0.050,-1.123,0.000
0.221,0.051,-1.125,0.000
0.218,0.052,-1.127,0.000
0.214,0.052,-1.129,0.000
0.211,0.053,-1.131,0.000
0.208,0.054,-1.132,0.000
0.205,0.055,-1.134,0.000
0.201,0.055,-1.136,0.000
0.199,0.056,-1.137,0.000
0.196,0.056,-1.138,0.000
0.193,0.057,-1.140,0.000
0.190,0.057,-1.141,0.000
0.187,0.058,-1.142,0.000
0.184,0.058,-1.144,0.000
0.182,0.059,-1.145,0.000
0.179,0.059,-1.146,0.000
0.176,0.060,-1.147,0.000
0.173,0.060,-1.148,0.000
0.170,0.061,-1.150,0.000
0.168,0.061,-1.151,0.000
0.165,0.061,-1.152,0.000
0.163,0.062,-1.153,0.000
0.160,0.062,-1.154,0.000
0.157,0.063,-1.155,0.000
0.155,0.063,-1.156,0.000
0.152,0.063,-1.157,0.000
0.149,0.064,-1.158,0.000
0.146,0.064,-1.159,0.000
0.143,0.065,-1.160,0.000
0.140,0.065,-1.161,0.000
0.137,0.065,-1.162,0.000
