tr2,cr2,fr2
-0.3500,0.0063,-1.0206
-0.3534,0.0047,-1.0170
-0.3568,0.0031,-1.0133
-0.3602,0.0015,-1.0096
-0.3637,-0.0001,-1.0058
-0.3671,-0.0018,-1.0019
-0.3705,-0.0035,-0.9980
-0.3740,-0.0052,-0.9941
-0.3774,-0.0070,-0.9900
-0.3808,-0.0088,-0.9860
-0.3842,-0.0106,-0.9818
-0.3877,-0.0124,-0.9776
-0.3911,-0.0143,-0.9734
-0.3945,-0.0162,-0.9690
-0.3979,-0.0181,-0.9647
-0.4013,-0.0201,-0.9602
-0.4047,-0.0221,-0.9557
-0.4081,-0.0241,-0.9512
-0.4114,-0.0262,-0.9466
-0.4148,-0.0283,-0.9419
-0.4182,-0.0304,-0.9372
-0.4215,-0.0325,-0.9324
-0.4249,-0.0347,-0.9275
-0.4282,-0.0369,-0.9226
-0.4315,-0.0392,-0.9176
-0.4349,-0.0415,-0.9125
-0.4382,-0.0438,-0.9074
-0.4415,-0.0461,-0.9022
-0.4448,-0.0485,-0.8969
-0.4480,-0.0510,-0.8916
-0.4513,-0.0534,-0.8862
-0.4546,-0.0559,-0.8807
-0.4578,-0.0585,-0.8752
-0.4611,-0.0611,-0.8696
-0.4643,-0.0637,-0.8639
-0.4675,-0.0664,-0.8581
-0.4708,-0.0691,-0.8523
-0.4740,-0.0718,-0.8463
-0.4772,-0.0746,-0.8403
-0.4799,-0.0771,-0.8351
-0.4824,-0.0792,-0.8305
-0.4849,-0.0814,-0.8258
-0.4875,-0.0837,-0.8208
-0.4901,-0.0862,-0.8156
-0.4927,-0.0887,-0.8102
-0.4954,-0.0913,-0.8047
-0.4982,-0.0940,-0.7989
-0.4974,-0.0968,-0.7930
-0.4998,-0.1007,-0.7870
-0.5030,-0.1046,-0.7807
