TR1,CR1,FR1
-0.0294,0.0263,-1.1480
-0.0334,0.0262,-1.1477
-0.0375,0.0260,-1.1473
-0.0415,0.0259,-1.1469
-0.0456,0.0257,-1.1464
-0.0496,0.0255,-1.1460
-0.0536,0.0253,-1.1454
-0.0577,0.0251,-1.1449
-0.0617,0.0248,-1.1443
-0.0656,0.0246,-1.1437
-0.0687,0.0244,-1.1433
-0.0711,0.0243,-1.1430
-0.0729,0.0243,-1.1428
-0.0744,0.0242,-1.1427
-0.0762,0.0241,-1.1424
-0.0782,0.0240,-1.1421
-0.0804,0.0238,-1.1418
-0.0828,0.0237,-1.1413
-0.0853,0.0235,-1.1409
-0.0880,0.0233,-1.1403
-0.0908,0.0230,-1.1397
-0.0938,0.0228,-1.1391
-0.0963,0.0226,-1.1385
-0.0985,0.0224,-1.1381
-0.1009,0.0222,-1.1375
-0.1034,0.0219,-1.1369
-0.1061,0.0217,-1.1362
-0.1090,0.0214,-1.1355
-0.1119,0.0211,-1.1347
-0.1150,0.0207,-1.1339
-0.1181,0.0204,-1.1330
-0.1214,0.0200,-1.1320
-0.1247,0.0196,-1.1310
-0.1280,0.0192,-1.1300
-0.1315,0.0188,-1.1289
-0.1350,0.0183,-1.1277
-0.1385,0.0179,-1.1266
-0.1421,0.0174,-1.1253
-0.1457,0.0169,-1.1240
-0.1493,0.0163,-1.1227
-0.1530,0.0158,-1.1213
-0.1567,0.0152,-1.1199
-0.1604,0.0147,-1.1185
-0.1642,0.0141,-1.1170
-0.1679,0.0135,-1.1154
-0.1717,0.0128,-1.1138
-0.1755,0.0122,-1.1122
-0.1793,0.0115,-1.1105
-0.1831,0.0108,-1.1088
-0.1870,0.0101,-1.1070
-0.1908,0.0094,-1.1052
-0.1946,0.0087,-1.1034
-0.1984,0.0079,-1.1015
-0.2023,0.0072,-1.0996
-0.2061,0.0064,-1.0976
-0.2100,0.0056,-1.0956
-0.2138,0.0048,-1.0936
-0.2176,0.0039,-1.0915
-0.2215,0.0031,-1.0893
-0.2253,0.0022,-1.0872
-0.2291,0.0013,-1.0849
-0.2330,0.0004,-1.0827
-0.2368,-0.0006,-1.0804
-0.2406,-0.0015,-1.0780
-0.2444,-0.0025,-1.0756
-0.2482,-0.0035,-1.0732
-0.2520,-0.0045,-1.0707
-0.2558,-0.0055,-1.0682
-0.2596,-0.0065,-1.0656
-0.2634,-0.0076,-1.0630
-0.2672,-0.0087,-1.0604
-0.2710,-0.0098,-1.0577
-0.2748,-0.0109,-1.0549
-0.2785,-0.0121,-1.0521
-0.2823,-0.0132,-1.0493
-0.2860,-0.0144,-1.0464
-0.2898,-0.0155,-1.0437
-0.2930,-0.0165,-1.0414
-0.2959,-0.0173,-1.0393
-0.2988,-0.0182,-1.0371
-0.3018,-0.0193,-1.0346
-0.3050,-0.0203,-1.0321
-0.3081,-0.0213,-1.0296
-0.3113,-0.0224,-1.0270
-0.3146,-0.0236,-1.0242
-0.3178,-0.0247,-1.0214
-0.3212,-0.0259,-1.0185
-0.3245,-0.0272,-1.0156
-0.3279,-0.0284,-1.0125
-0.3313,-0.0297,-1.0094
-0.3347,-0.0311,-1.0062
-0.3381,-0.0325,-1.0029
-0.3416,-0.0339,-0.9996
-0.3450,-0.0354,-0.9959
-0.3484,-0.0370,-0.9922
-0.3518,-0.0386,-0.9885
-0.3553,-0.0402,-0.9847
-0.3587,-0.0419,-0.9809
-0.3622,-0.0435,-0.9770
-0.3656,-0.0452,-0.9730
-0.3691,-0.0470,-0.9690
-0.3725,-0.0487,-0.9650
-0.3760,-0.0505,-0.9609
-0.3794,-0.0523,-0.9567
-0.3829,-0.0541,-0.9525
-0.3863,-0.0560,-0.9482
-0.3897,-0.0579,-0.9439
-0.3932,-0.0598,-0.9395
-0.3966,-0.0617,-0.9351
-0.4000,-0.0637,-0.9306
-0.4035,-0.0657,-0.9260
-0.4069,-0.0677,-0.9214
-0.4103,-0.0698,-0.9167
-0.4137,-0.0719,-0.9120
-0.4171,-0.0740,-0.9072
-0.4205,-0.0762,-0.9023
-0.4238,-0.0784,-0.8974
-0.4272,-0.0806,-0.8924
-0.4306,-0.0829,-0.8873
-0.4339,-0.0852,-0.8822
-0.4372,-0.0875,-0.8770
-0.4406,-0.0899,-0.8717
-0.4439,-0.0923,-0.8664
-0.4472,-0.0947,-0.8610
-0.4505,-0.0972,-0.8555
-0.4538,-0.0997,-0.8499
-0.4571,-0.1023,-0.8443
-0.4604,-0.1049,-0.8386
-0.4636,-0.1076,-0.8328
-0.4669,-0.1103,-0.8269
-0.4701,-0.1130,-0.8210
-0.4734,-0.1158,-0.8150
-0.4766,-0.1186,-0.8088
-0.4794,-0.1211,-0.8035
-0.4819,-0.1232,-0.7988
-0.4844,-0.1255,-0.7940
-0.4870,-0.1278,-0.7889
-0.4896,-0.1303,-0.7836
-0.4923,-0.1329,-0.7781
-0.4950,-0.1355,-0.7724
-0.4978,-0.1383,-0.7666
-0.5006,-0.1411,-0.7605
-0.5034,-0.1441,-0.7543
-0.5062,-0.1471,-0.7480
