tr,cr,fr,z
0.549,1.130,-1.768,0.089
0.552,1.129,-1.764,0.090
0.555,1.128,-1.759,0.090
0.559,1.127,-1.755,0.090
0.562,1.126,-1.751,0.090
0.565,1.124,-1.747,0.090
0.568,1.123,-1.742,0.091
0.572,1.121,-1.738,0.091
0.575,1.120,-1.733,0.091
0.578,1.118,-1.729,0.091
0.582,1.116,-1.724,0.091
0.585,1.114,-1.719,0.092
0.588,1.112,-1.715,0.092
0.591,1.110,-1.710,0.092
0.595,1.107,-1.705,0.092
0.598,1.105,-1.700,0.092
0.601,1.103,-1.695,0.092
0.605,1.100,-1.690,0.092
0.608,1.098,-1.685,0.093
0.611,1.095,-1.680,0.093
0.614,1.093,-1.675,0.093
0.617,1.090,-1.670,0.093
0.621,1.087,-1.665,0.093
0.624,1.085,-1.660,0.093
0.627,1.082,-1.655,0.093
0.630,1.079,-1.649,0.094
0.633,1.076,-1.644,0.094
0.637,1.073,-1.639,0.094
0.640,1.070,-1.633,0.094
0.643,1.067,-1.628,0.094
0.646,1.064,-1.623,0.094
0.649,1.061,-1.617,0.094
0.652,1.058,-1.611,0.094
0.655,1.055,-1.606,0.094
0.658,1.051,-1.600,0.094
0.661,1.048,-1.595,0.095
0.664,1.045,-1.589,0.095
0.668,1.041,-1.583,0.095
0.671,1.038,-1.578,0.095
0.674,1.034,-1.572,0.095
0.677,1.030,-1.566,0.095
0.680,1.027,-1.560,0.095
0.683,1.023,-1.554,0.095
0.686,1.019,-1.548,0.095
0.689,1.015,-1.542,0.095
0.692,1.011,-1.536,0.095
0.694,1.008,-1.530,0.095
0.697,1.004,-1.524,0.095
0.700,1.000,-1.518,0.095
0.703,0.996,-1.512,0.095
0.706,0.992,-1.505,0.095
0.709,0.988,-1.499,0.095
0.712,0.984,-1.493,0.095
0.715,0.980,-1.486,0.096
0.717,0.976,-1.480,0.096
0.720,0.971,-1.474,0.096
0.723,0.967,-1.467,0.096
0.726,0.963,-1.461,0.096
0.729,0.958,-1.454,0.096
0.731,0.953,-1.448,0.096
0.734,0.949,-1.441,0.096
0.737,0.944,-1.435,0.095
0.739,0.939,-1.429,0.095
0.742,0.934,-1.422,0.095
0.745,0.929,-1.416,0.095
0.747,0.924,-1.409,0.095
0.750,0.919,-1.402,0.095
0.752,0.913,-1.396,0.095
0.755,0.908,-1.389,0.095
0.758,0.903,-1.383,0.095
0.760,0.898,-1.376,0.095
0.763,0.892,-1.369,0.094
0.765,0.887,-1.362,0.094
0.768,0.881,-1.356,0.094
0.770,0.876,-1.349,0.094
0.773,0.870,-1.342,0.094
0.775,0.864,-1.335,0.094
0.777,0.859,-1.328,0.094
0.780,0.853,-1.321,0.093
0.782,0.847,-1.314,0.093
0.785,0.842,-1.307,0.093
0.787,0.836,-1.300,0.093
0.789,0.830,-1.293,0.093
0.792,0.824,-1.286,0.093
0.794,0.818,-1.279,0.092
0.796,0.812,-1.271,0.092
0.799,0.806,-1.264,0.092
0.801,0.800,-1.257,0.092
0.803,0.794,-1.249,0.092
0.806,0.788,-1.242,0.092
0.808,0.782,-1.234,0.091
0.810,0.776,-1.227,0.091
0.812,0.770,-1.219,0.091
0.814,0.763,-1.211,0.091
0.817,0.757,-1.204,0.091
0.819,0.751,-1.197,0.090
0.820,0.745,-1.190,0.090
0.822,0.740,-1.184,0.090
0.824,0.734,-1.179,0.089
0.825,0.728,-1.174,0.089
0.826,0.723,-1.169,0.089
0.827,0.718,-1.165,0.088
0.829,0.712,-1.160,0.088
0.830,0.707,-1.157,0.088
0.831,0.702,-1.153,0.087
0.831,0.697,-1.149,0.087
0.832,0.692,-1.146,0.086
0.833,0.687,-1.143,0.086
0.834,0.682,-1.140,0.085
0.835,0.677,-1.137,0.085
0.835,0.672,-1.134,0.084
0.836,0.667,-1.131,0.084
0.837,0.662,-1.129,0.083
0.837,0.657,-1.126,0.083
