tr,cr,fr,z
-0.454,0.504,-1.688,0.001
-0.457,0.504,-1.686,0.001
-0.460,0.503,-1.685,0.001
-0.463,0.503,-1.683,0.001
-0.466,0.502,-1.681,0.001
-0.469,0.502,-1.679,0.001
-0.471,0.501,-1.676,0.001
-0.474,0.500,-1.674,0.001
-0.477,0.499,-1.672,0.001
-0.480,0.498,-1.670,0.001
