Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
4.14,0,1.1,3.2,3.3,5.4,5.5
4.15,0,1.1,3.2,3.3,5.4,5.5
4.16,0,1.1,3.2,4.3,4.4,5.5
4.17,0,1.1,3.2,3.3,5.4,5.5
4.18,0,1.1,3.2,3.3,5.4,5.5
4.19,0,1.1,3.2,4.3,4.4,6.5
4.2,1,1.1,3.2,3.3,4.4,6.5
4.21,0,1.1,3.2,3.3,4.4,6.5
4.22,1,1.1,3.2,3.3,4.4,6.5
4.23,0,1.1,3.2,3.3,4.4,6.5
4.24,0,1.1,3.2,3.3,4.4,6.5
4.25,0,1.1,3.2,3.3,5.4,6.5
4.26,0,1.1,3.2,3.3,5.4,6.5
4.27,0,1.1,3.2,3.3,5.4,6.5
4.28,0,1.1,3.2,3.3,5.4,6.5
4.29,0,1.1,3.2,3.3,5.4,5.5
4.3,0,1.1,3.2,3.3,5.4,6.5
4.31,0,1.1,3.2,3.3,5.4,5.5
4.32,0,1.1,3.2,3.3,5.4,5.5
4.33,0,1.1,3.2,3.3,5.4,5.5
4.34,0,1.1,3.2,3.3,5.4,5.5
4.35,0,1.1,3.2,3.3,5.4,5.5
4.36,0,1.1,3.2,3.3,5.4,5.5
4.37,0,1.1,3.2,4.3,4.4,6.5
4.38,0,1.1,3.2,4.3,4.4,6.5
4.39,0,1.1,3.2,3.3,4.4,6.5
4.4,1,1.1,3.2,3.3,5.4,5.5
4.41,1,1.1,2.2,3.3,5.4,5.5
4.42,1,1.1,3.2,3.3,5.4,5.5
4.43,1,2.1,3.2,4.3,4.4,5.5
4.44,1,1.1,3.2,4.3,5.4,5.5
4.45,0,1.1,3.2,3.3,5.4,5.5
4.46,1,1.1,3.2,3.3,5.4,5.5
4.47,1,1.1,3.2,3.3,5.4,5.5
4.48,1,1.1,3.2,3.3,5.4,5.5
4.49,1,1.1,3.2,3.3,4.4,5.5
4.5,1,1.1,3.2,4.3,4.4,6.5
4.51,1,1.1,3.2,4.3,5.4,6.5
4.52,1,1.1,3.2,4.3,4.4,6.5
4.53,1,1.1,3.2,4.3,4.4,5.5
4.54,1,1.1,3.2,3.3,5.4,5.5
4.55,1,1.1,2.2,3.3,5.4,5.5
4.56,1,1.1,2.2,3.3,5.4,5.5
4.57,1,2.1,2.2,3.3,5.4,5.5
4.58,0,2.1,3.2,4.3,5.4,5.5
4.59,0,1.1,3.2,3.3,5.4,5.5
4.6,0,2.1,3.2,4.3,5.4,5.5
4.61,1,1.1,3.2,3.3,5.4,5.5
4.62,1,1.1,3.2,3.3,5.4,5.5
4.63,1,1.1,3.2,3.3,5.4,5.5
4.64,0,1.1,3.2,3.3,5.4,5.5
4.65,0,1.1,3.2,3.3,5.4,5.5
4.66,0,1.1,3.2,3.3,5.4,5.5
4.67,1,1.1,3.2,3.3,5.4,5.5
4.68,0,1.1,3.2,3.3,5.4,5.5
4.69,1,1.1,3.2,4.3,5.4,5.5
4.7,1,1.1,2.2,4.3,5.4,5.5
4.71,0,2.1,2.2,4.3,4.4,5.5
4.72,0,2.1,2.2,4.3,4.4,5.5
4.73,0,2.1,2.2,4.3,5.4,5.5
4.74,0,1.1,3.2,4.3,5.4,5.5
4.75,0,1.1,3.2,3.3,5.4,5.5
4.76,0,1.1,3.2,3.3,5.4,5.5
4.77,0,1.1,3.2,3.3,5.4,5.5
4.78,0,1.1,3.2,3.3,5.4,5.5
4.79,0,1.1,3.2,3.3,5.4,5.5
4.8,0,1.1,3.2,3.3,5.4,5.5
4.81,0,1.1,3.2,3.3,5.4,5.5
4.82,0,1.1,3.2,3.3,5.4,5.5
4.83,0,1.1,3.2,3.3,5.4,5.5
4.84,0,1.1,3.2,3.3,5.4,5.5
4.85,0,2.1,3.2,3.3,5.4,6.5
4.86,0,2.1,2.2,3.3,5.4,6.5
4.87,0,2.1,2.2,3.3,5.4,5.5
4.88,0,2.1,2.2,3.3,5.4,6.5
4.89,0,2.1,2.2,4.3,5.4,6.5
4.9,0,2.1,2.2,4.3,5.4,5.5
4.91,0,2.1,2.2,4.3,5.4,5.5
4.92,0,2.1,2.2,4.3,4.4,5.5
4.93,0,2.1,2.2,4.3,4.4,5.5
4.94,0,2.1,2.2,4.3,5.4,5.5
4.95,1,1.1,2.2,4.3,5.4,5.5
4.96,0,1.1,3.2,4.3,5.4,5.5
4.97,0,1.1,3.2,3.3,5.4,5.5
4.98,0,1.1,3.2,3.3,5.4,5.5
4.99,0,1.1,3.2,3.3,5.4,5.5
5,0,1.1,3.2,3.3,5.4,5.5
5.01,0,1.1,3.2,3.3,5.4,6.5
5.02,0,1.1,3.2,3.3,4.4,6.5
5.03,0,1.1,3.2,3.3,4.4,6.5
5.04,0,1.1,3.2,3.3,4.4,6.5
5.05,0,1.1,3.2,4.3,4.4,6.5
5.06,0,1.1,3.2,4.3,5.4,5.5
