Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
1.430,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.440,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.450,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.460,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.470,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.480,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.490,0.0,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.500,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.510,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.520,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.530,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.540,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.550,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.560,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.570,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.580,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.590,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.600,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.610,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.620,+1.000e+00,+2.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.630,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.640,+1.000e+00,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.650,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.660,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.670,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.680,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.690,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.700,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.710,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.720,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.730,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.740,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.750,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.760,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.770,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.780,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.790,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.800,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.810,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.820,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.830,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.840,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.850,0.0,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.860,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.870,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.880,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.890,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.900,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.910,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.920,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
1.930,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.940,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.950,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
1.960,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.970,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.980,+1.000e+00,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
1.990,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.000,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
2.010,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
2.020,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.030,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.040,+1.000e+00,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.050,+1.000e+00,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.060,+1.000e+00,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.070,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.080,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.090,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.100,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.110,+1.000e+00,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.120,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.130,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.140,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.150,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.160,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.170,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.180,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.190,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.200,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.210,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.220,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.230,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.240,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
2.250,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.260,+1.000e+00,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.270,+1.000e+00,+1.100e+00,+2.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.280,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.290,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.300,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.310,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.320,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.330,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.340,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
2.350,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
2.360,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.370,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.380,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+5.500e+00
2.390,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.400,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
2.410,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
2.420,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
2.430,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.440,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
2.450,+1.000e+00,+2.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
2.460,0.0,+2.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
2.470,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
2.480,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
2.490,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
2.500,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
2.510,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
2.520,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
2.530,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.540,0.0,+1.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
2.550,+1.000e+00,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.560,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
